subject_id,subject_category,subject_label,subject_type,predicate_id,predicate_label,object_id,object_category,object_label,object_type,mapping_justification,comment,license,mapping_date,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,term_local_name,compound_name,term_iri
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,CollectionStatusHistory,Has Measurement Or Fact,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasMeasurementOrFact,CollectionStatusHistory.hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasReference,CollectionStatusHistory,Has Reference,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasReference,CollectionStatusHistory.hasReference,http://rs.tdwg.org/ltc/terms/hasReference
http://rs.tdwg.org/ltc/terms/hasTemporalCoverage,CollectionStatusHistory,Has Temporal Coverage,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasTemporalCoverage,CollectionStatusHistory.hasTemporalCoverage,http://rs.tdwg.org/ltc/terms/hasTemporalCoverage
http://rs.tdwg.org/ltc/terms/statusType,CollectionStatusHistory,Status Type,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/type,DCMI Metadata Terms,Type,rdf property,"The LtC term is a more specific, contextual subtype of the object term.",,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,statusType,CollectionStatusHistory.statusType,http://rs.tdwg.org/ltc/terms/statusType
http://rs.tdwg.org/ltc/terms/contactDetailCategory,ContactDetail,Contact Detail Category,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/type,DCMI Metadata Terms,Type,rdf property,"The LtC term is a more specific, contextual subtype of the object term.",,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,contactDetailCategory,ContactDetail.contactDetailCategory,http://rs.tdwg.org/ltc/terms/contactDetailCategory
http://rs.tdwg.org/ltc/terms/contactDetailValue,ContactDetail,Contact Detail Value,rdf property,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,https://schema.org/email,ContactPoint; Organization; Person,,rdf property,The LtC term has a more generic scope that covers the values for multiple contact types.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,contactDetailValue,ContactDetail.contactDetailValue,http://rs.tdwg.org/ltc/terms/contactDetailValue
http://rs.tdwg.org/ltc/terms/contactDetailValue,ContactDetail,Contact Detail Value,rdf property,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,https://schema.org/faxNumber,ContactPoint; Organization; Person,,rdf property,The LtC term has a more generic scope that covers the values for multiple contact types.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,contactDetailValue,ContactDetail.contactDetailValue,http://rs.tdwg.org/ltc/terms/contactDetailValue
http://rs.tdwg.org/ltc/terms/contactDetailValue,ContactDetail,Contact Detail Value,rdf property,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,https://schema.org/telephone,ContactPoint; Organization; Person,,rdf property,The LtC term has a more generic scope that covers the values for multiple contact types.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,contactDetailValue,ContactDetail.contactDetailValue,http://rs.tdwg.org/ltc/terms/contactDetailValue
http://rs.tdwg.org/ltc/terms/hasIdentifier,ContactDetail,Has Identifier,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasIdentifier,ContactDetail.hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier
http://rs.tdwg.org/ltc/terms/habitat,EcologicalContext,Habitat,rdf property,http://www.w3.org/2004/02/skos/core#closeMatch,closeMatch,http://rs.tdwg.org/dwc/terms/habitat,Event,Habitat,rdf property,LtC has a different parent class (EcologicalContext) which may be linked directly to an ObjectGroup without defining an event.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,habitat,EcologicalContext.habitat,http://rs.tdwg.org/ltc/terms/habitat
