namespace,class_name,term_local_name,datatype,compound_name
ltc:,GeologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,GeologicalContext.hasMeasurementOrFact
ltc:,GeologicalContext,hasReference,array<ltc:Reference>,GeologicalContext.hasReference
dwc:,GeologicalContext,latestAgeOrHighestStage,string,GeologicalContext.latestAgeOrHighestStage
dwc:,GeologicalContext,latestEonOrHighestEonothem,string,GeologicalContext.latestEonOrHighestEonothem
dwc:,GeologicalContext,latestEpochOrHighestSeries,string,GeologicalContext.latestEpochOrHighestSeries
dwc:,GeologicalContext,latestEraOrHighestErathem,string,GeologicalContext.latestEraOrHighestErathem
dwc:,GeologicalContext,latestPeriodOrHighestSystem,string,GeologicalContext.latestPeriodOrHighestSystem
dwc:,GeologicalContext,member,string,GeologicalContext.member
ltc:,GeologicalContext,supergroup,string,GeologicalContext.supergroup
ltc:,Identifier,hasReference,array<ltc:Reference>,Identifier.hasReference
ltc:,Identifier,identifierSource,string,Identifier.identifierSource
ltc:,Identifier,identifierType,string,Identifier.identifierType
ltc:,Identifier,identifierValue,string,Identifier.identifierValue
ltc:,LatimerCoreScheme,basisOfScheme,string,LatimerCoreScheme.basisOfScheme
ltc:,LatimerCoreScheme,hasIdentifier,array<ltc:Identifier>,LatimerCoreScheme.hasIdentifier
ltc:,LatimerCoreScheme,hasObjectGroup,array<ltc:ObjectGroup>,LatimerCoreScheme.hasObjectGroup
ltc:,LatimerCoreScheme,hasReference,array<ltc:Reference>,LatimerCoreScheme.hasReference
ltc:,LatimerCoreScheme,hasSchemeMeasurementOrFact,array<ltc:SchemeMeasurementOrFact>,LatimerCoreScheme.hasSchemeMeasurementOrFact
ltc:,LatimerCoreScheme,hasSchemeTerm,array<ltc:SchemeTerm>,LatimerCoreScheme.hasSchemeTerm
ltc:,LatimerCoreScheme,isDistinctObjects,boolean,LatimerCoreScheme.isDistinctObjects
ltc:,LatimerCoreScheme,schemeName,string,LatimerCoreScheme.schemeName
ltc:,MeasurementOrFact,hasIdentifier,array<ltc:Identifier>,MeasurementOrFact.hasIdentifier
ltc:,MeasurementOrFact,hasReference,array<ltc:Reference>,MeasurementOrFact.hasReference
dwc:,MeasurementOrFact,measurementAccuracy,string,MeasurementOrFact.measurementAccuracy
ltc:,MeasurementOrFact,measurementDerivation,string,MeasurementOrFact.measurementDerivation
ltc:,MeasurementOrFact,measurementFactText,string,MeasurementOrFact.measurementFactText
dwc:,MeasurementOrFact,measurementMethod,string,MeasurementOrFact.measurementMethod
dwc:,MeasurementOrFact,measurementRemarks,string,MeasurementOrFact.measurementRemarks
dwc:,MeasurementOrFact,measurementType,string,MeasurementOrFact.measurementType
dwc:,MeasurementOrFact,measurementUnit,string,MeasurementOrFact.measurementUnit
dwc:,MeasurementOrFact,measurementValue,number,MeasurementOrFact.measurementValue
ltc:,ObjectClassification,hasIdentifier,array<ltc:Identifier>,ObjectClassification.hasIdentifier
ltc:,ObjectClassification,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,ObjectClassification.hasMeasurementOrFact
ltc:,ObjectClassification,hasParentObjectClassification,array<ltc:ObjectClassification>,ObjectClassification.hasParentObjectClassification
ltc:,ObjectClassification,hasReference,array<ltc:Reference>,ObjectClassification.hasReference
ltc:,ObjectClassification,isTopParent,boolean,ObjectClassification.isTopParent
ltc:,ObjectClassification,objectClassificationLevel,string,ObjectClassification.objectClassificationLevel
ltc:,ObjectClassification,objectClassificationName,string,ObjectClassification.objectClassificationName
ltc:,ObjectGroup,alternativeCollectionName,list,ObjectGroup.alternativeCollectionName
ltc:,ObjectGroup,baseTypeOfObjectGroup,list,ObjectGroup.baseTypeOfObjectGroup
ltc:,ObjectGroup,collectionManagementSystem,list,ObjectGroup.collectionManagementSystem
ltc:,ObjectGroup,collectionName,string,ObjectGroup.collectionName
ltc:,ObjectGroup,conditionsOfAccess,list,ObjectGroup.conditionsOfAccess
dwc:,ObjectGroup,degreeOfEstablishment,list,ObjectGroup.degreeOfEstablishment
ltc:,ObjectGroup,description,string,ObjectGroup.description
ltc:,ObjectGroup,discipline,list,ObjectGroup.discipline
ltc:,ObjectGroup,hasChronometricAge,array<ltc:ChronometricAge>,ObjectGroup.hasChronometricAge
ltc:,ObjectGroup,hasCollectionStatusHistory,array<ltc:CollectionStatusHistory>,ObjectGroup.hasCollectionStatusHistory
ltc:,ObjectGroup,hasEcologicalContext,array<ltc:EcologicalContext>,ObjectGroup.hasEcologicalContext
