iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,abcd_equivalence,flags
http://rs.tdwg.org/dwc/terms/version/relationshipAccordingTo-2018-09-06,relationshipAccordingTo,Relationship According To,"The source (person, organization, publication, reference) establishing the relationship between the two resources.",,`Julie Woodruff`,http://rs.tdwg.org/dwc/terms/ResourceRelationship,9/6/2018,recommended,http://rs.tdwg.org/dwc/terms/version/relationshipAccordingTo-2017-10-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo,not in ABCD,extension
http://rs.tdwg.org/dwc/terms/version/relationshipEstablishedDate-2023-06-28,relationshipEstablishedDate,Relationship Established Date,The date-time on which the relationship between the two resources was established.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),http://rs.tdwg.org/dwc/terms/ResourceRelationship,6/28/2023,recommended,http://rs.tdwg.org/dwc/terms/version/relationshipEstablishedDate-2020-08-12,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,not in ABCD,extension
http://rs.tdwg.org/dwc/terms/version/relationshipOfResource-2023-06-28,relationshipOfResource,Relationship Of Resource,The relationship of the subject (identified by dwc:resourceID) to the object (identified by dwc:relatedResourceID).,Recommended best practice is to use a controlled vocabulary.,`same as`; `duplicate of`; `mother of`; `offspring of`; `sibling of`; `parasite of`; `host of`; `valid synonym of`; `located within`; `pollinator of members of taxon`; `pollinated specific plant`; `pollinated by members of taxon`; `on slab with`,http://rs.tdwg.org/dwc/terms/ResourceRelationship,6/28/2023,recommended,http://rs.tdwg.org/dwc/terms/version/relationshipOfResource-2021-07-15,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relationshipOfResource,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociationType,extension
http://rs.tdwg.org/dwc/terms/version/relationshipOfResourceID-2023-06-28,relationshipOfResourceID,Relationship Of Resource ID,An identifier for the relationship type (predicate) that connects the subject identified by dwc:resourceID to its object identified by dwc:relatedResourceID.,"Recommended best practice is to use the identifiers of the terms in a controlled vocabulary, such as the OBO Relation Ontology.",`http://purl.obolibrary.org/obo/RO_0002456` (for the relation `pollinated by`); `http://purl.obolibrary.org/obo/RO_0002455` (for the relation `pollinates`); `https://www.inaturalist.org/observation_fields/879` (for the relation `eaten by`),http://rs.tdwg.org/dwc/terms/ResourceRelationship,6/28/2023,recommended,http://rs.tdwg.org/dwc/terms/version/relationshipOfResourceID-2021-07-15,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relationshipOfResourceID,not in ABCD,extension
http://rs.tdwg.org/dwc/terms/version/relationshipRemarks-2023-06-28,relationshipRemarks,Relationship Remarks,Comments or notes about the relationship between the two resources.,,`mother and offspring collected from the same nest`; `pollinator captured in the act`,http://rs.tdwg.org/dwc/terms/ResourceRelationship,6/28/2023,recommended,http://rs.tdwg.org/dwc/terms/version/relationshipRemarks-2018-09-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relationshipRemarks,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/Comments,extension
http://digir.net/schema/conceptual/darwin/2003/1.0/version/RelationshipType-2003-06-13,RelationshipType,Relationship Type,"A named or coded valued that identifies the kind relationship between this Collection Item and the referenced Collection Item. Named values include: ""parasite of"", ""epiphyte on"", ""progeny of"", etc. In future versions of this schema this attribute should be set-valued.",,,,6/13/2003,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/RelationshipType,,
http://rs.tdwg.org/dwc/dwcore/version/Remarks-2007-04-17,Remarks,Remarks,Free text comments accompanying the object or observation record.,,,,4/17/2007,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Remarks-2003-06-17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/Remarks,DataSets/DataSet/Units/Unit/Notes,
http://rs.tdwg.org/dwc/terms/version/reproductiveCondition-2017-10-06,reproductiveCondition,Reproductive Condition,The reproductive condition of the biological individual(s) represented in the Occurrence.,Recommended best practice is to use a controlled vocabulary.,"`non-reproductive`, `pregnant`, `in bloom`, `fruit-bearing`",http://rs.tdwg.org/dwc/terms/Occurrence,10/6/2017,superseded,http://rs.tdwg.org/dwc/terms/version/reproductiveCondition-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/reproductiveCondition,not in ABCD,simple
http://rs.tdwg.org/dwc/terms/version/resourceID-2018-09-06,resourceID,Resource ID,An identifier for the resource that is the subject of the relationship.,,`f809b9e0-b09b-11e8-96f8-529269fb1459`,http://rs.tdwg.org/dwc/terms/ResourceRelationship,9/6/2018,recommended,http://rs.tdwg.org/dwc/terms/version/resourceID-2017-10-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/resourceID,not in ABCD,extension
http://rs.tdwg.org/dwc/terms/version/ResourceRelationship-2023-09-13,ResourceRelationship,Resource Relationship,A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to instances of dwc:Occurrence, dwc:Organism, dwc:MaterialEntity, dwc:Event, dcterms:Location, dwc:GeologicalContext, dwc:Identification, or dwc:Taxon.",`an instance of a dwc:Organism is the mother of another instance of a dwc:Organism`; `a uniquely identified dwc:Occurrence represents the same dwc:Occurrence as another uniquely identified dwc:Occurrence`; `a dwc:MaterialEntity is a subsample of another dwc:MaterialEntity`,,9/13/2023,recommended,http://rs.tdwg.org/dwc/terms/version/ResourceRelationship-2023-06-28,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/ResourceRelationship,DataSets/DataSet/Units/Unit/Associations,extension
