sssom_subject_id,sssom_subject_category,sssom_predicate_id,sssom_object_id,sssom_object_category,sssom_mapping_justification,sssom_author_id,sssom_author_label,sssom_creator_id,sssom_creator_label,sssom_subject_type,sssom_object_type,sssom_object_source,sssom_mapping_date,sssom_object_match_field,sssom_comment,semapv_regexRemoval,object_source_version,sssom_reviewer_id,sssom_reviewer_label,semapv_RegexRemoval,term_local_name
mids:Modified,mids1,skos:narrowMatch,abcd:Unit-DateLastEdited,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1267,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/DateLastEdited,2024-06-24,,alternative modified date on record level,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Modified
mids:QualitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-LocalityText,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1268,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/LocalityText,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-Country,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1269,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/Country,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,abcd:Biotope,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1270,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/Biotope,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-NamedArea-AreaName,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1271,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-NearNamedPlace,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1272,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/AreaDetail,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-AreaDetail,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1273,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QualitativeLocation
mids:QuantitativeLocation,mids2,owl:intersectionOf,abcd:Gathering-LatitudeDecimal,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal,2024-06-26,abcd:Gathering-LatitudeDecimal | abcd:Gathering-LongitudeDecimal,All properties in object_match_field need to be present,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QuantitativeLocation
mids:QuantitativeLocation,mids2,owl:intersectionOf,abcd:Gathering-LongitudeDecimal,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QuantitativeLocation
mids:QuantitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-GML,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/GML,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QuantitativeLocation
