term_uri,skos_mappingRelation,related_termName,term_local_name,term_ns_name
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasResourceRelationship,broadMatch,http://purl.org/dc/terms/relation,hasResourceRelationship,ltc:hasResourceRelationship
http://rs.tdwg.org/ltc/terms/Reference,narrowMatch,http://rs.tdwg.org/abcd/terms/Reference,Reference,ltc:Reference
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/referenceDetails,broadMatch,http://rs.tdwg.org/abcd/terms/details,referenceDetails,ltc:referenceDetails
http://rs.tdwg.org/ltc/terms/referenceName,broadMatch,http://purl.org/dc/terms/title,referenceName,ltc:referenceName
http://rs.tdwg.org/ltc/terms/referenceType,broadMatch,http://purl.org/dc/terms/type,referenceType,ltc:referenceType
http://rs.tdwg.org/ltc/terms/resourceURI,broadMatch,http://rs.tdwg.org/abcd/terms/resourceURI,resourceURI,ltc:resourceURI
http://rs.tdwg.org/ltc/terms/ResourceRelationship,closeMatch,http://rs.tdwg.org/dwc/terms/ResourceRelationship,ResourceRelationship,ltc:ResourceRelationship
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/relatedResourceName,broadMatch,http://purl.org/dc/terms/title,relatedResourceName,ltc:relatedResourceName
http://rs.tdwg.org/ltc/terms/relationshipOfResource,closeMatch,http://rs.tdwg.org/dwc/terms/relationshipOfResource,relationshipOfResource,ltc:relationshipOfResource
http://rs.tdwg.org/ltc/terms/Role,broadMatch,http://www.w3.org/ns/prov#Role,Role,ltc:Role
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/roleName,broadMatch,http://purl.org/dc/terms/title,roleName,ltc:roleName
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/schemeMeasurementType,broadMatch,http://purl.org/dc/terms/type,schemeMeasurementType,ltc:schemeMeasurementType
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/termName,broadMatch,http://purl.org/dc/terms/title,termName,ltc:termName
http://rs.tdwg.org/ltc/terms/StorageLocation,narrowMatch,https://www.cidoc-crm.org/Entity/e53-place/version-7.1,StorageLocation,ltc:StorageLocation
http://rs.tdwg.org/ltc/terms/hasAddress,broadMatch,http://purl.org/dc/terms/relation,hasAddress,ltc:hasAddress
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasParentStorageLocation,broadMatch,http://purl.org/dc/terms/relation,hasParentStorageLocation,ltc:hasParentStorageLocation
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/locationDescription,broadMatch,http://purl.org/dc/terms/description,locationDescription,ltc:locationDescription
http://rs.tdwg.org/ltc/terms/locationName,broadMatch,http://purl.org/dc/terms/title,locationName,ltc:locationName
http://rs.tdwg.org/ltc/terms/locationType,broadMatch,http://purl.org/dc/terms/type,locationType,ltc:locationType
http://rs.tdwg.org/ltc/terms/Taxon,closeMatch,http://rs.tdwg.org/dwc/terms/Taxon,Taxon,ltc:Taxon
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/endedAtTime,closeMatch,http://www.w3.org/ns/prov#endedAtTime,endedAtTime,ltc:endedAtTime
http://rs.tdwg.org/ltc/terms/startedAtTime,closeMatch,http://www.w3.org/ns/prov#startedAtTime,startedAtTime,ltc:startedAtTime
http://rs.tdwg.org/ltc/terms/temporalCoverageType,broadMatch,http://purl.org/dc/terms/type,temporalCoverageType,ltc:temporalCoverageType
